scientificName,n_records,latitude_median,elevation_median,lat_q05,lat_q95,lat_range_q05_q95,elev_q05,elev_q95,elev_range_q05_q95,bio4_detrended_median,bio4_detrended_q05,bio4_detrended_q95,bio4_detrended_range_q05_q95,median_doy_clean,global_lat_alpha,global_lat_beta,expected_doy_at_median_lat,lat_standardized_doy_index,start_lat,start_doy,lat_beta,elev_beta,hopkins_lat_slope,hopkins_elev_slope,lat_r2,lat_elev_r2,hopkins_lat_elev_rmse
Euonymus alatus,746,41.351835833349995,107.26312775279685,38.609758338575006,44.053634124325,5.443875785749995,14.797730039558216,343.7874145574494,328.9896845178912,-62.02190697963256,-150.87211588998335,12.915974987586804,163.78809087757014,106,53.24371658323815,1.1194930128859681,99.53680786868108,6.46319213131892,41.37083828335,104.97846657212014,5.50745417374431,0.014330733855661597,4,0.03278688524590164,0.5301137113897084,0.5464964857504664,10.372413886598135
Euonymus europaeus,222,49.3320765,184.797418828336,43.987794569445,55.65734928528,11.669554715834998,8.47301299595775,556.8805605249988,548.407547529041,-449.06585581309145,-650.4963820682692,-176.949359427009,473.54702264126024,85,53.24371658323815,1.1194930128859681,108.47063153614421,-23.47063153614421,49.3320765,85.71319669160599,1.9308893864839292,0.01974561511192868,4,0.03278688524590164,0.09527316734062333,0.11619191022771669,20.784959532491147
Euonymus verrucosus,464,54.954322235549995,160.00966054400698,49.18455623981501,56.66894907995499,7.484392840139982,84.47772692794922,258.54528031510716,174.06755338715794,-248.93994102206273,-405.02677518419347,-16.57840916723699,388.44836601695647,113,53.24371658323815,1.1194930128859681,114.76469635382037,-1.7646963538203693,54.8741844716,113.56270428036815,4.2419454219299135,0.03220396911580368,4,0.03278688524590164,0.45274734558717694,0.4684764105864703,10.345026836601658
Fagus grandifolia,1481,42.0379916667,127.47578264515298,35.64032,45.4647141644,9.824394164399997,11.582391871178514,479.5261625732197,467.9437707020412,-73.51939470813609,-181.1176879913269,8.875516811228064,189.99320480255497,119,53.24371658323815,1.1194930128859681,100.30495452986736,18.69504547013264,41.988648735,119.88173285483496,3.093054959368271,0.018856860219670174,4,0.03278688524590164,0.5214554206816846,0.6171445708735073,8.491914335672234
Fagus sylvatica,579,51.4616625,137.90135838301086,43.06087631892,56.250452588120005,13.189576269200003,10.303026631748182,1209.8789237282301,1199.5758970964819,-595.838920487388,-814.9084164287581,-428.4165359889488,386.4918804398093,118,53.24371658323815,1.1194930128859681,110.854688183484,7.145311816515999,51.444492625,113.76553956476188,0.39867258100081376,0.013550577347376266,4,0.03278688524590164,0.02666636104295292,0.1263897423985581,11.722431451787712
Ficus carica,375,41.040766,125.03619208026748,33.03588006201,51.52003010093,18.48415003892,2.7322190580909647,884.7566194856031,882.0244004275121,-410.3251504543223,-625.1828891784651,-134.03939202781424,491.14349715065083,89,53.24371658323815,1.1194930128859681,99.18856736372615,-10.18856736372615,41.040766,85.60484913611917,1.9012810723074722,0.017463938581035714,4,0.03278688524590164,0.14370690794224864,0.17945609077011826,24.346164471934426
Forsythia suspensa,171,42.51807818,171.39154916932222,35.61319695835,53.76104724355,18.1478502852,21.153498353837456,580.8796118333696,559.7261134795322,-108.01119776662948,-715.2418442468843,24.355909589557385,739.5977538364417,89,53.24371658323815,1.1194930128859681,100.84240802708749,-11.842408027087487,42.51807818,89.26736793313596,0.6765595349157464,0.009808960720391325,4,0.03278688524590164,0.03857636766308298,0.05364707107382901,25.74121573421397
Frangula alnus,311,45.327295,133.4354074771615,41.72166240055,57.78565583335,16.063993432799997,6.1442151167445695,371.0344252933346,364.89021017659,-115.2127171587831,-571.5077214468339,79.79379406770931,651.3015155145432,121,53.24371658323815,1.1194930128859681,103.98730662875923,17.012693371240772,45.3234565,121.72153499370464,0.6943536404376387,0.008305593315769896,4,0.03278688524590164,0.1574557426268283,0.17020974644377415,23.71504838563322
Frangula purshiana,76,47.6416547887,94.94353980455872,42.301949120625,49.300093435675,6.998144315050006,2.479563397332498,362.2746555896938,359.79509219236127,-641.1427273538491,-725.1586975839562,-517.5752228565453,207.58347472741082,107,53.24371658323815,1.1194930128859681,106.57821624151313,0.42178375848686755,47.6081635557,105.99231188029502,5.36906772874635,-0.0022886166505534686,4,0.03278688524590164,0.29079827473052294,0.2909597804678738,19.894176341389166
Fraxinus angustifolia,82,42.4962911071,287.12404778928317,38.081260692220006,44.479031337475,6.397770645254994,2.2154471002011076,1092.4784609341698,1090.2630138339687,-429.95562137069874,-565.3160010292713,-354.1986509456228,211.11735008364855,52,53.24371658323815,1.1194930128859681,100.81801755120469,-48.81801755120469,42.4962911071,53.142686025506784,2.4413746265252967,0.00900602418387147,4,0.03278688524590164,0.04091752328861133,0.05398307093064489,24.529933383238742
Fraxinus excelsior,719,51.6129216667,73.03120375329163,45.346352204,56.22469458836,10.878342384360003,3.5220659793163644,566.877235579863,563.3551696005467,-673.8488494595666,-812.6483797262189,-390.0856652002194,422.56271452599947,116,53.24371658323815,1.1194930128859681,111.0240217637396,4.975978236260403,51.5862916667,108.63811356875203,1.8517630276253305,0.026279737258033016,4,0.03278688524590164,0.17930638869280716,0.2707439559965874,13.258082002618442
Fraxinus latifolia,88,45.2981601699,77.45491803506181,41.453499440845,47.656808171375005,6.203308730530004,6.327434887315037,425.01530613549807,418.687871248183,-520.8053878290922,-613.6250218177738,-479.5826484510051,134.0423733667687,107,53.24371658323815,1.1194930128859681,103.95469039003066,3.045309609969337,44.66158866955,102.92174782333345,0.40358099045257095,0.04177426253452717,4,0.03278688524590164,0.00264247560929663,0.08320700214980915,14.497348322448254
Fraxinus nigra,94,45.184897500000005,175.53661898496233,42.28351315,49.209212571145,6.925699421145005,11.092556177258873,385.0090076025744,373.91645142531553,-77.38957068818871,-257.3687799271865,86.7810759870375,344.14985591422396,140.5,53.24371658323815,1.1194930128859681,103.8278936224568,36.6721063775432,45.184897500000005,139.1156689361385,2.9088620300917976,-0.0012187264169816994,4,0.03278688524590164,0.2201981642077394,0.22030602996223211,12.026493183760339
Fraxinus pennsylvanica,179,45.564493567,154.68034973536496,36.01710221525,56.85444522167,20.83734300642,9.31312005881382,636.418398451216,627.1052783924022,-36.09378467459702,-293.87942137947175,112.63365072066381,406.51307210013556,122,53.24371658323815,1.1194930128859681,104.25284876718229,17.747151232817714,45.564493567,120.27916757341318,0.8244351744630808,0.002431400491817487,4,0.03278688524590164,0.1312851219679983,0.13374807425304458,23.982995220310958
Gaylussacia baccata,138,41.8482431984,88.65818017191977,38.22848476889501,44.741498937095,6.5130141681999945,1.834835382128464,443.13665749127483,441.30182210914637,-98.7482470525364,-191.6613818900837,-0.913907852461727,190.74747403762197,130.5,53.24371658323815,1.1194930128859681,100.09253244539968,30.407467554600316,41.8482431984,128.35596965806303,4.186254801713665,0.01877135868197248,4,0.03278688524590164,0.3331244551359849,0.3759457524414065,11.498437996313646
Gleditsia triacanthos,288,40.031291075,190.6487925900335,32.390850603509996,44.994346198844994,12.603495595334998,4.601293798300071,395.5642311261431,390.96293732784306,-40.70453563220468,-318.2208367577665,26.522038701349835,344.74287545911636,115,53.24371658323815,1.1194930128859681,98.05846723850506,16.94153276149494,40.0209921339,112.0804323095543,3.0544274797481172,0.008513343273821567,4,0.03278688524590164,0.3974179680586956,0.40364799140238633,17.193726986197273
